Date,Yearly
1990-06-01,-0.18727829
1990-07-01,-0.29383677
1990-08-01,-0.33307317
1990-09-01,-0.30082226
1990-10-01,-0.19504169
1990-11-01,-0.032867398
1990-12-01,0.14949603
1991-01-01,0.29937273
1991-02-01,0.3932726
1991-03-01,0.3856061
1991-04-01,0.286056
1991-05-01,0.108260974
1991-06-01,-0.082740344
1991-07-01,-0.24885976
1991-08-01,-0.35903114
1991-09-01,-0.38489252
1991-10-01,-0.32597744
1991-11-01,-0.183567
1991-12-01,-0.001436382
1992-01-01,0.17253305
1992-02-01,0.3058129
1992-03-01,0.34513465
1992-04-01,0.29650447
1992-05-01,0.17011243
1992-06-01,0.019765856
1992-07-01,-0.12057146
1992-08-01,-0.23034525
1992-09-01,-0.27263168
1992-10-01,-0.2440675
1992-11-01,-0.14746279
1992-12-01,-0.0069972565
1993-01-01,0.1274415
1993-02-01,0.22933275
1993-03-01,0.25860497
1993-04-01,0.21996948
1993-05-01,0.11084031
1993-06-01,-0.01898833
1993-07-01,-0.13972917
1993-08-01,-0.23088713
1993-09-01,-0.26284093
1993-10-01,-0.23201585
1993-11-01,-0.13710779
1993-12-01,-0.007619172
1994-01-01,0.12550835
1994-02-01,0.23832834
1994-03-01,0.2792419
1994-04-01,0.25632033
1994-05-01,0.16212356
1994-06-01,0.0413479
1994-07-01,-0.07964888
1994-08-01,-0.18183109
1994-09-01,-0.23838401
1994-10-01,-0.24070513
1994-11-01,-0.17997341
1994-12-01,-0.07609954
1995-01-01,0.039812278
1995-02-01,0.14936313
1995-03-01,0.19777183
1995-04-01,0.19607303
1995-05-01,0.13504192
1995-06-01,0.045045797
1995-07-01,-0.05062856
1995-08-01,-0.12969998
1995-09-01,-0.17305918
1995-10-01,-0.16621566
1995-11-01,-0.1061209
1995-12-01,-0.0091837365
1996-01-01,0.08812969
1996-02-01,0.17397961
1996-03-01,0.1954918
1996-04-01,0.16560675
1996-05-01,0.08138061
1996-06-01,-0.020551354
1996-07-01,-0.11851595
1996-08-01,-0.1836784
1996-09-01,-0.20769274
1996-10-01,-0.1792199
1996-11-01,-0.095637776
1996-12-01,0.011806372
1997-01-01,0.114220366
1997-02-01,0.1957668
1997-03-01,0.21526669
1997-04-01,0.18109797
1997-05-01,0.09576425
1997-06-01,-0.001356433
1997-07-01,-0.08940334
1997-08-01,-0.15226649
1997-09-01,-0.1781017
1997-10-01,-0.16349973
1997-11-01,-0.107012875
1997-12-01,-0.026483918
1998-01-01,0.057036895
1998-02-01,0.12644325
1998-03-01,0.15025014
1998-04-01,0.14116298
1998-05-01,0.084324114
1998-06-01,0.023129823
1998-07-01,-0.03470432
1998-08-01,-0.08645381
1998-09-01,-0.11565145
1998-10-01,-0.11878352
1998-11-01,-0.08849227
1998-12-01,-0.035387687
1999-01-01,0.025490228
1999-02-01,0.08473749
1999-03-01,0.11110724
1999-04-01,0.11071489
1999-05-01,0.075418934
1999-06-01,0.026231308
1999-07-01,-0.023639714
1999-08-01,-0.06936117
1999-09-01,-0.10018871
1999-10-01,-0.10479251
1999-11-01,-0.07941225
1999-12-01,-0.028756535
