Date,Close
12/06/2019,1.828
13/06/2019,1.842
14/06/2019,1.8374
17/06/2019,1.831
18/06/2019,1.8734
19/06/2019,1.9072
20/06/2019,1.8908
21/06/2019,1.875
24/06/2019,1.8748
25/06/2019,1.8684
26/06/2019,1.8778
27/06/2019,1.8786
28/06/2019,1.882
01/07/2019,1.8676
02/07/2019,1.885
03/07/2019,1.9808
04/07/2019,2.026
05/07/2019,2.032
08/07/2019,2.0175
09/07/2019,2.0065
10/07/2019,2.031
11/07/2019,2.0555
12/07/2019,2.051
15/07/2019,2.0485
16/07/2019,2.062
17/07/2019,2.043
18/07/2019,2.05
19/07/2019,2.008
22/07/2019,2.0115
23/07/2019,2.035
24/07/2019,2.035
25/07/2019,2.02
26/07/2019,2.01
29/07/2019,1.9912
30/07/2019,1.966
31/07/2019,1.9604
01/08/2019,2
02/08/2019,1.9526
05/08/2019,1.9678
06/08/2019,1.9446
07/08/2019,1.91
08/08/2019,1.9454
09/08/2019,1.8748
12/08/2019,1.836
13/08/2019,1.8872
14/08/2019,1.8456
16/08/2019,1.882
19/08/2019,1.9142
20/08/2019,1.9034
21/08/2019,1.9226
22/08/2019,1.9418
23/08/2019,1.9032
26/08/2019,1.94
27/08/2019,1.9482
28/08/2019,1.9686
29/08/2019,2.0135
30/08/2019,1.9932
02/09/2019,2.0035
03/09/2019,2.0005
04/09/2019,2.0275
05/09/2019,2.056
06/09/2019,2.067
09/09/2019,2.1015
10/09/2019,2.1235
11/09/2019,2.108
12/09/2019,2.1225
13/09/2019,2.182
16/09/2019,2.1435
17/09/2019,2.125
18/09/2019,2.126
19/09/2019,2.164
20/09/2019,2.166
23/09/2019,2.1405
24/09/2019,2.13
25/09/2019,2.135
26/09/2019,2.143
27/09/2019,2.1605
30/09/2019,2.1755
01/10/2019,2.155
02/10/2019,2.094
03/10/2019,2.091
04/10/2019,2.0955
07/10/2019,2.108
08/10/2019,2.086
09/10/2019,2.1035
10/10/2019,2.1495
11/10/2019,2.186
14/10/2019,2.18
15/10/2019,2.21
16/10/2019,2.2385
17/10/2019,2.2315
18/10/2019,2.2345
21/10/2019,2.253
22/10/2019,2.275
23/10/2019,2.27
24/10/2019,2.271
25/10/2019,2.2725
28/10/2019,2.2785
29/10/2019,2.272
30/10/2019,2.2485
31/10/2019,2.246
01/11/2019,2.273
04/11/2019,2.306
05/11/2019,2.34
06/11/2019,2.3375
07/11/2019,2.356
08/11/2019,2.343
11/11/2019,2.357
12/11/2019,2.378
13/11/2019,2.345
14/11/2019,2.326
15/11/2019,2.338
18/11/2019,2.35
19/11/2019,2.3475
20/11/2019,2.345
21/11/2019,2.354
22/11/2019,2.3435
25/11/2019,2.3525
26/11/2019,2.342
27/11/2019,2.3275
28/11/2019,2.31
29/11/2019,2.3005
02/12/2019,2.271
03/12/2019,2.245
04/12/2019,2.291
05/12/2019,2.288
06/12/2019,2.3135
09/12/2019,2.297
10/12/2019,2.304
11/12/2019,2.311
12/12/2019,2.3525
13/12/2019,2.328
16/12/2019,2.3465
17/12/2019,2.363
18/12/2019,2.366
19/12/2019,2.38
20/12/2019,2.405
23/12/2019,2.4005
27/12/2019,2.355
30/12/2019,2.3485
02/01/2020,2.381
03/01/2020,2.3495
06/01/2020,2.34
07/01/2020,2.345
08/01/2020,2.338
09/01/2020,2.374
10/01/2020,2.357
13/01/2020,2.341
14/01/2020,2.347
15/01/2020,2.32
16/01/2020,2.3225
17/01/2020,2.3365
20/01/2020,2.3185
21/01/2020,2.304
22/01/2020,2.28
23/01/2020,2.268
24/01/2020,2.278
27/01/2020,2.255
28/01/2020,2.3055
29/01/2020,2.32
30/01/2020,2.2915
31/01/2020,2.2455
03/02/2020,2.285
04/02/2020,2.3515
05/02/2020,2.4495
06/02/2020,2.4715
07/02/2020,2.476
10/02/2020,2.459
11/02/2020,2.4825
12/02/2020,2.5075
13/02/2020,2.51
14/02/2020,2.5075
17/02/2020,2.54
18/02/2020,2.6
19/02/2020,2.6035
20/02/2020,2.55
21/02/2020,2.5215
24/02/2020,2.3765
25/02/2020,2.33
26/02/2020,2.381
27/02/2020,2.2885
28/02/2020,2.1985
02/03/2020,2.1365
03/03/2020,2.119
04/03/2020,2.1275
05/03/2020,2.0465
06/03/2020,1.9772
09/03/2020,1.75
10/03/2020,1.7088
11/03/2020,1.7792
12/03/2020,1.4628
13/03/2020,1.5544
16/03/2020,1.4028
17/03/2020,1.4514
18/03/2020,1.4086
19/03/2020,1.4252
20/03/2020,1.4654
23/03/2020,1.4488
24/03/2020,1.5836
25/03/2020,1.6162
26/03/2020,1.631
27/03/2020,1.5666
30/03/2020,1.4708
31/03/2020,1.4884
01/04/2020,1.4348
02/04/2020,1.4378
03/04/2020,1.3292
06/04/2020,1.4582
07/04/2020,1.469
08/04/2020,1.4492
09/04/2020,1.445
14/04/2020,1.4062
15/04/2020,1.3484
16/04/2020,1.3602
17/04/2020,1.3762
20/04/2020,1.383
21/04/2020,1.32
22/04/2020,1.3382
23/04/2020,1.3844
24/04/2020,1.3438
27/04/2020,1.3952
28/04/2020,1.4472
29/04/2020,1.4804
30/04/2020,1.423
04/05/2020,1.376
05/05/2020,1.451
06/05/2020,1.4202
07/05/2020,1.4044
08/05/2020,1.414
11/05/2020,1.4094
12/05/2020,1.4208
13/05/2020,1.3936
14/05/2020,1.3836
15/05/2020,1.3838
18/05/2020,1.4522
19/05/2020,1.4308
20/05/2020,1.439
21/05/2020,1.422
22/05/2020,1.4446
25/05/2020,1.4576
26/05/2020,1.5012
27/05/2020,1.5384
28/05/2020,1.5586
29/05/2020,1.5524
01/06/2020,1.58
02/06/2020,1.625
03/06/2020,1.6732
04/06/2020,1.6938
05/06/2020,1.7728
08/06/2020,1.8034
09/06/2020,1.72
10/06/2020,1.7026
11/06/2020,1.6178
12/06/2020,1.622
15/06/2020,1.6266
16/06/2020,1.6992
17/06/2020,1.7038
18/06/2020,1.6858
19/06/2020,1.6848
22/06/2020,1.6824
23/06/2020,1.7114
24/06/2020,1.6668
25/06/2020,1.6848
26/06/2020,1.66
29/06/2020,1.702
30/06/2020,1.7036
01/07/2020,1.6906
02/07/2020,1.7528
03/07/2020,1.7468
06/07/2020,1.7922
07/07/2020,1.7866
08/07/2020,1.763
09/07/2020,1.7312
10/07/2020,1.7654
13/07/2020,1.7814
14/07/2020,1.781
15/07/2020,1.8144
16/07/2020,1.8394
17/07/2020,1.8318
20/07/2020,1.8544
21/07/2020,1.8848
22/07/2020,1.8762
23/07/2020,1.8492
24/07/2020,1.8154
27/07/2020,1.8014
28/07/2020,1.7862
29/07/2020,1.7894
30/07/2020,1.735
31/07/2020,1.7072
03/08/2020,1.7082
04/08/2020,1.7936
05/08/2020,1.8344
06/08/2020,1.8138
07/08/2020,1.8054
10/08/2020,1.814
11/08/2020,1.8612
12/08/2020,1.8828
13/08/2020,1.8656
14/08/2020,1.8516
17/08/2020,1.8244
18/08/2020,1.8148
19/08/2020,1.845
20/08/2020,1.8162
21/08/2020,1.8116
24/08/2020,1.8392
25/08/2020,1.834
26/08/2020,1.8426
27/08/2020,1.8038
28/08/2020,1.825
31/08/2020,1.8052
01/09/2020,1.8018
02/09/2020,1.7936
03/09/2020,1.7788
04/09/2020,1.7786
07/09/2020,1.7938
08/09/2020,1.762
09/09/2020,1.7902
10/09/2020,1.8012
11/09/2020,1.7792
14/09/2020,1.779
15/09/2020,1.7688
16/09/2020,1.7602
17/09/2020,1.7434
18/09/2020,1.7148
21/09/2020,1.6356
22/09/2020,1.6418
23/09/2020,1.6122
24/09/2020,1.608
25/09/2020,1.579
28/09/2020,1.6246
29/09/2020,1.6068
30/09/2020,1.603
01/10/2020,1.5864
02/10/2020,1.5924
05/10/2020,1.6332
06/10/2020,1.6684
07/10/2020,1.6488
08/10/2020,1.6754
09/10/2020,1.679
12/10/2020,1.6706
13/10/2020,1.6332
14/10/2020,1.6174
15/10/2020,1.5376
16/10/2020,1.5558
19/10/2020,1.5598
20/10/2020,1.58
21/10/2020,1.5358
22/10/2020,1.5368
23/10/2020,1.5612
26/10/2020,1.527
27/10/2020,1.4906
28/10/2020,1.418
29/10/2020,1.3992
30/10/2020,1.4196
02/11/2020,1.4824
03/11/2020,1.5406
04/11/2020,1.5978
05/11/2020,1.6372
06/11/2020,1.6168
09/11/2020,1.7658
10/11/2020,1.8442
11/11/2020,1.8248
12/11/2020,1.802
13/11/2020,1.8178
16/11/2020,1.84
17/11/2020,1.8492
18/11/2020,1.8734
19/11/2020,1.8542
20/11/2020,1.8704
23/11/2020,1.8634
24/11/2020,1.916
25/11/2020,1.9422
26/11/2020,1.9292
27/11/2020,1.9446
30/11/2020,1.9254
01/12/2020,1.977
02/12/2020,1.971
03/12/2020,1.9862
04/12/2020,1.9906
07/12/2020,1.9712
08/12/2020,1.969
09/12/2020,1.976
10/12/2020,1.9608
11/12/2020,1.9358
14/12/2020,1.9392
15/12/2020,1.975
16/12/2020,1.943
17/12/2020,1.9444
18/12/2020,1.9352
21/12/2020,1.8676
22/12/2020,1.8812
23/12/2020,1.913
28/12/2020,1.9224
29/12/2020,1.9198
30/12/2020,1.9126
04/01/2021,1.9052
05/01/2021,1.8844
06/01/2021,1.9482
07/01/2021,1.968
08/01/2021,1.955
11/01/2021,1.9428
12/01/2021,1.9382
13/01/2021,1.9292
14/01/2021,1.915
15/01/2021,1.902
18/01/2021,1.9172
19/01/2021,1.9104
20/01/2021,1.9264
21/01/2021,1.9172
22/01/2021,1.8842
25/01/2021,1.8232
26/01/2021,1.8396
27/01/2021,1.8076
28/01/2021,1.8336
29/01/2021,1.8052
01/02/2021,1.822
02/02/2021,1.871
03/02/2021,1.9512
04/02/2021,2.0085
05/02/2021,2.061
08/02/2021,2.09
09/02/2021,2.087
10/02/2021,2.08
11/02/2021,2.0865
12/02/2021,2.096
15/02/2021,2.1175
16/02/2021,2.1125
17/02/2021,2.096
18/02/2021,2.08
19/02/2021,2.1085
22/02/2021,2.1
23/02/2021,2.112
24/02/2021,2.1275
25/02/2021,2.152
26/02/2021,2.134
01/03/2021,2.16
02/03/2021,2.1545
03/03/2021,2.203
04/03/2021,2.192
05/03/2021,2.1945
08/03/2021,2.268
09/03/2021,2.2695
10/03/2021,2.274
11/03/2021,2.2665
12/03/2021,2.2805
15/03/2021,2.265
16/03/2021,2.294
17/03/2021,2.315
18/03/2021,2.349
19/03/2021,2.314
22/03/2021,2.2985
23/03/2021,2.289
24/03/2021,2.2955
25/03/2021,2.2945
26/03/2021,2.2975
29/03/2021,2.286
30/03/2021,2.3235
31/03/2021,2.3105
01/04/2021,2.318
06/04/2021,2.303
07/04/2021,2.3005
08/04/2021,2.263
09/04/2021,2.2535
12/04/2021,2.2605
13/04/2021,2.274
14/04/2021,2.281
15/04/2021,2.275
16/04/2021,2.2955
19/04/2021,2.31
20/04/2021,2.245
21/04/2021,2.22
22/04/2021,2.226
23/04/2021,2.221
26/04/2021,2.2725
27/04/2021,2.285
28/04/2021,2.2965
29/04/2021,2.3175
30/04/2021,2.321
03/05/2021,2.334
04/05/2021,2.308
05/05/2021,2.341
06/05/2021,2.359
07/05/2021,2.362
10/05/2021,2.3895
11/05/2021,2.3805
12/05/2021,2.3825
13/05/2021,2.3725
14/05/2021,2.3875
17/05/2021,2.41
18/05/2021,2.4025
19/05/2021,2.3515
20/05/2021,2.355
21/05/2021,2.374
24/05/2021,2.363
25/05/2021,2.361
26/05/2021,2.346
27/05/2021,2.394
28/05/2021,2.409
31/05/2021,2.4165
01/06/2021,2.4455
02/06/2021,2.4725
03/06/2021,2.476
04/06/2021,2.4805
07/06/2021,2.4855
08/06/2021,2.46
09/06/2021,2.4535
10/06/2021,2.439
11/06/2021,2.425
14/06/2021,2.45
15/06/2021,2.451
16/06/2021,2.415
17/06/2021,2.4165
18/06/2021,2.344
21/06/2021,2.3665
22/06/2021,2.342
23/06/2021,2.316
24/06/2021,2.364
25/06/2021,2.3855
28/06/2021,2.3295
29/06/2021,2.3565
30/06/2021,2.3295
01/07/2021,2.3555
02/07/2021,2.336
05/07/2021,2.369
06/07/2021,2.3205
07/07/2021,2.3035
08/07/2021,2.236
09/07/2021,2.284
12/07/2021,2.3055
13/07/2021,2.27
14/07/2021,2.2845
15/07/2021,2.256
16/07/2021,2.232
19/07/2021,2.1375
20/07/2021,2.179
21/07/2021,2.2365
22/07/2021,2.2505
23/07/2021,2.285
26/07/2021,2.3375
27/07/2021,2.3135
28/07/2021,2.32
29/07/2021,2.347
30/07/2021,2.3315
02/08/2021,2.3145
03/08/2021,2.3265
04/08/2021,2.34
05/08/2021,2.345
06/08/2021,2.3985
09/08/2021,2.4045
10/08/2021,2.408
11/08/2021,2.449
12/08/2021,2.439
13/08/2021,2.448
16/08/2021,2.4215
17/08/2021,2.3885
18/08/2021,2.4075
19/08/2021,2.3565
20/08/2021,2.369
23/08/2021,2.386
24/08/2021,2.38
25/08/2021,2.39
26/08/2021,2.364
27/08/2021,2.378
30/08/2021,2.369
31/08/2021,2.3975
01/09/2021,2.4215
02/09/2021,2.4095
03/09/2021,2.3875
06/09/2021,2.403
07/09/2021,2.3835
08/09/2021,2.359
09/09/2021,2.3715
10/09/2021,2.3465
13/09/2021,2.394
14/09/2021,2.3865
15/09/2021,2.377
16/09/2021,2.4075
17/09/2021,2.374
20/09/2021,2.302
21/09/2021,2.322
22/09/2021,2.373
23/09/2021,2.4275
24/09/2021,2.4245
27/09/2021,2.472
28/09/2021,2.4295
29/09/2021,2.459
30/09/2021,2.4535
01/10/2021,2.449
04/10/2021,2.4215
05/10/2021,2.503
06/10/2021,2.475
07/10/2021,2.51
08/10/2021,2.5175
11/10/2021,2.5035
12/10/2021,2.5125
13/10/2021,2.495
14/10/2021,2.5235
15/10/2021,2.575
18/10/2021,2.4915
